batch_id,subject_id,domain,attack,expected,current_verdict,evidence_status,execution_status,required_artifacts,promotion_rule
BATCH-01,IRS-001,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-001/raw-test.log;evidence/IRS-001/result.json;evidence/IRS-001/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-002,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-002/raw-test.log;evidence/IRS-002/result.json;evidence/IRS-002/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-003,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-003/raw-test.log;evidence/IRS-003/result.json;evidence/IRS-003/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-004,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-004/raw-test.log;evidence/IRS-004/result.json;evidence/IRS-004/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-005,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-005/raw-test.log;evidence/IRS-005/result.json;evidence/IRS-005/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-006,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-006/raw-test.log;evidence/IRS-006/result.json;evidence/IRS-006/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-007,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-007/raw-test.log;evidence/IRS-007/result.json;evidence/IRS-007/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-008,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-008/raw-test.log;evidence/IRS-008/result.json;evidence/IRS-008/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-009,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-009/raw-test.log;evidence/IRS-009/result.json;evidence/IRS-009/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-01,IRS-010,Governance Authority,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-010/raw-test.log;evidence/IRS-010/result.json;evidence/IRS-010/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-011,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-011/raw-test.log;evidence/IRS-011/result.json;evidence/IRS-011/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-012,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-012/raw-test.log;evidence/IRS-012/result.json;evidence/IRS-012/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-013,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-013/raw-test.log;evidence/IRS-013/result.json;evidence/IRS-013/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-014,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-014/raw-test.log;evidence/IRS-014/result.json;evidence/IRS-014/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-015,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-015/raw-test.log;evidence/IRS-015/result.json;evidence/IRS-015/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-016,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-016/raw-test.log;evidence/IRS-016/result.json;evidence/IRS-016/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-017,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-017/raw-test.log;evidence/IRS-017/result.json;evidence/IRS-017/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-018,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-018/raw-test.log;evidence/IRS-018/result.json;evidence/IRS-018/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-019,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-019/raw-test.log;evidence/IRS-019/result.json;evidence/IRS-019/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-02,IRS-020,Identity & Tenancy,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-020/raw-test.log;evidence/IRS-020/result.json;evidence/IRS-020/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-021,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-021/raw-test.log;evidence/IRS-021/result.json;evidence/IRS-021/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-022,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-022/raw-test.log;evidence/IRS-022/result.json;evidence/IRS-022/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-023,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-023/raw-test.log;evidence/IRS-023/result.json;evidence/IRS-023/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-024,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-024/raw-test.log;evidence/IRS-024/result.json;evidence/IRS-024/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-025,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-025/raw-test.log;evidence/IRS-025/result.json;evidence/IRS-025/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-026,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-026/raw-test.log;evidence/IRS-026/result.json;evidence/IRS-026/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-027,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-027/raw-test.log;evidence/IRS-027/result.json;evidence/IRS-027/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-028,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-028/raw-test.log;evidence/IRS-028/result.json;evidence/IRS-028/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-029,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-029/raw-test.log;evidence/IRS-029/result.json;evidence/IRS-029/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-03,IRS-030,Approval & SoD,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-030/raw-test.log;evidence/IRS-030/result.json;evidence/IRS-030/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-032,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-032/raw-test.log;evidence/IRS-032/result.json;evidence/IRS-032/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-033,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-033/raw-test.log;evidence/IRS-033/result.json;evidence/IRS-033/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-034,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-034/raw-test.log;evidence/IRS-034/result.json;evidence/IRS-034/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-035,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-035/raw-test.log;evidence/IRS-035/result.json;evidence/IRS-035/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-036,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-036/raw-test.log;evidence/IRS-036/result.json;evidence/IRS-036/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-037,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-037/raw-test.log;evidence/IRS-037/result.json;evidence/IRS-037/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-039,"Grant, Capability & Execution",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-039/raw-test.log;evidence/IRS-039/result.json;evidence/IRS-039/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-041,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-041/raw-test.log;evidence/IRS-041/result.json;evidence/IRS-041/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-042,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-042/raw-test.log;evidence/IRS-042/result.json;evidence/IRS-042/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-04,IRS-043,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-043/raw-test.log;evidence/IRS-043/result.json;evidence/IRS-043/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-044,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-044/raw-test.log;evidence/IRS-044/result.json;evidence/IRS-044/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-045,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-045/raw-test.log;evidence/IRS-045/result.json;evidence/IRS-045/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-046,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-046/raw-test.log;evidence/IRS-046/result.json;evidence/IRS-046/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-047,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-047/raw-test.log;evidence/IRS-047/result.json;evidence/IRS-047/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-048,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-048/raw-test.log;evidence/IRS-048/result.json;evidence/IRS-048/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-049,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-049/raw-test.log;evidence/IRS-049/result.json;evidence/IRS-049/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-050,"Model, Content & Memory",NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-050/raw-test.log;evidence/IRS-050/result.json;evidence/IRS-050/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-051,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-051/raw-test.log;evidence/IRS-051/result.json;evidence/IRS-051/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-052,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-052/raw-test.log;evidence/IRS-052/result.json;evidence/IRS-052/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-05,IRS-053,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-053/raw-test.log;evidence/IRS-053/result.json;evidence/IRS-053/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-054,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-054/raw-test.log;evidence/IRS-054/result.json;evidence/IRS-054/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-055,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-055/raw-test.log;evidence/IRS-055/result.json;evidence/IRS-055/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-056,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-056/raw-test.log;evidence/IRS-056/result.json;evidence/IRS-056/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-057,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-057/raw-test.log;evidence/IRS-057/result.json;evidence/IRS-057/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-058,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-058/raw-test.log;evidence/IRS-058/result.json;evidence/IRS-058/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
BATCH-06,IRS-059,Multi-Agent & Tool Security,NOT_EXECUTED,SEE_MATRIX,UNPROVEN,MISSING,NOT_STARTED,evidence/IRS-059/raw-test.log;evidence/IRS-059/result.json;evidence/IRS-059/sha256sums.txt,Promote to PASS only after exact executable evidence and regression PASS.
